Episode,Return
188,-2261.5555555555557
189,-2387.5555555555557
190,-1966.4444444444443
191,-2054.5555555555557
192,-2143.5555555555557
193,-2082.6666666666665
194,-2082.777777777778
195,-1733.4444444444443
196,-1667.6666666666667
197,-1670.888888888889
198,-1319.3333333333333
199,-1239.3333333333333
200,-1173.7777777777778
201,-1013.6666666666666
202,-1043.3333333333333
203,-929.7777777777778
204,-965.0
205,-1162.111111111111
206,-1037.2222222222222
207,-1018.3333333333334
208,-1155.0
209,-1685.2222222222222
210,-1787.0
211,-1899.888888888889
212,-1986.111111111111
213,-2094.1111111111113
214,-1900.3333333333333
215,-2088.3333333333335
216,-2583.0
217,-2611.777777777778
218,-2027.0
219,-2035.111111111111
220,-2230.3333333333335
221,-2330.5555555555557
222,-2330.0
223,-2727.3333333333335
224,-2633.3333333333335
225,-2598.3333333333335
226,-2454.6666666666665
227,-2363.222222222222
228,-2311.3333333333335
229,-2626.6666666666665
230,-2511.1111111111113
231,-2983.4444444444443
232,-2652.4444444444443
233,-2582.777777777778
234,-2060.5555555555557
235,-2180.6666666666665
236,-2497.777777777778
237,-2433.6666666666665
238,-1658.2222222222222
239,-1546.111111111111
240,-937.4444444444445
241,-1038.111111111111
242,-1276.7777777777778
243,-2226.6666666666665
244,-2350.0
245,-2289.5555555555557
246,-3511.222222222222
247,-3990.6666666666665
248,-4231.222222222223
249,-4448.444444444444
250,-4813.444444444444
251,-4705.888888888889
252,-4783.222222222223
253,-4703.666666666667
254,-4607.777777777777
255,-3465.4444444444443
256,-3607.0
257,-3439.777777777778
258,-3306.222222222222
259,-3563.222222222222
260,-3663.6666666666665
261,-2780.5555555555557
262,-3011.8888888888887
263,-2954.777777777778
264,-3491.777777777778
265,-3432.3333333333335
266,-4143.222222222223
267,-4383.222222222223
268,-3740.1111111111113
269,-3457.0
270,-3821.777777777778
271,-4321.888888888889
272,-4177.666666666667
273,-3783.4444444444443
274,-3833.8888888888887
275,-3265.222222222222
276,-2961.8888888888887
277,-3087.4444444444443
278,-3325.0
279,-3506.6666666666665
280,-2571.3333333333335
281,-2974.3333333333335
282,-2980.3333333333335
283,-2612.1111111111113
284,-2471.1111111111113
285,-2540.5555555555557
286,-2347.8888888888887
287,-2516.777777777778
288,-1956.4444444444443
289,-2732.6666666666665
290,-2574.8888888888887
291,-2452.8888888888887
292,-2225.8888888888887
293,-2260.5555555555557
294,-2175.222222222222
295,-2145.8888888888887
296,-2385.3333333333335
297,-2253.0
298,-1461.6666666666667
299,-1409.7777777777778
300,-1581.6666666666667
301,-1635.7777777777778
302,-1592.4444444444443
303,-1527.6666666666667
304,-1575.111111111111
305,-1080.2222222222222
306,-1140.6666666666667
307,-1158.2222222222222
308,-1193.4444444444443
309,-1001.7777777777778
310,-925.8888888888889
311,-891.0
312,-904.7777777777778
313,-1048.7777777777778
314,-901.6666666666666
315,-877.8888888888889
316,-929.7777777777778
317,-767.6666666666666
318,-776.1111111111111
319,-716.4444444444445
320,-740.8888888888889
321,-740.0
322,-524.5555555555555
323,-584.0
324,-630.4444444444445
325,-565.6666666666666
326,-529.1111111111111
327,-436.44444444444446
328,-556.5555555555555
329,-489.22222222222223
330,-563.8888888888889
331,-517.1111111111111
332,-439.22222222222223
333,-387.3333333333333
334,-352.3333333333333
335,-320.3333333333333
336,-311.6666666666667
337,-207.0
338,-232.44444444444446
339,-153.55555555555554
340,-149.33333333333334
341,-135.77777777777777
342,-82.33333333333333
343,-68.0
344,-60.77777777777778
345,-106.77777777777777
346,-74.55555555555556
347,-85.44444444444444
348,-104.66666666666667
349,-101.11111111111111
350,-115.66666666666667
351,-159.22222222222223
352,-195.88888888888889
353,-260.3333333333333
354,-198.88888888888889
355,-209.44444444444446
356,-205.0
357,-168.33333333333334
358,-146.0
359,-138.66666666666666
360,-90.11111111111111
361,-63.44444444444444
362,23.11111111111111
363,21.22222222222222
364,20.0
365,60.22222222222222
366,64.22222222222223
367,13.11111111111111
368,25.666666666666668
369,20.77777777777778
370,39.666666666666664
371,34.333333333333336
372,39.0
373,49.111111111111114
374,50.111111111111114
375,53.22222222222222
376,107.22222222222223
377,100.77777777777777
378,104.33333333333333
379,107.0
380,117.0
381,119.33333333333333
382,117.0
383,124.0
384,129.33333333333334
385,130.55555555555554
386,141.88888888888889
387,148.22222222222223
388,142.33333333333334
389,144.33333333333334
390,151.0
391,162.66666666666666
392,166.77777777777777
393,168.55555555555554
394,168.88888888888889
395,169.11111111111111
396,167.88888888888889
397,173.33333333333334
398,173.22222222222223
399,174.22222222222223
400,173.22222222222223
401,172.22222222222223
402,167.55555555555554
403,166.55555555555554
404,168.33333333333334
405,165.33333333333334
406,166.44444444444446
407,165.0
408,162.11111111111111
409,162.33333333333334
410,158.88888888888889
411,162.77777777777777
412,165.44444444444446
413,166.11111111111111
414,167.77777777777777
415,167.11111111111111
416,169.11111111111111
417,172.22222222222223
418,172.22222222222223
419,173.55555555555554
420,173.66666666666666
421,170.11111111111111
422,169.88888888888889
423,171.33333333333334
424,171.22222222222223
425,170.77777777777777
426,170.55555555555554
427,171.55555555555554
428,170.77777777777777
429,168.44444444444446
430,169.88888888888889
431,170.22222222222223
432,168.66666666666666
433,170.33333333333334
434,170.88888888888889
435,167.66666666666666
436,166.66666666666666
437,169.0
438,170.44444444444446
439,167.77777777777777
440,166.0
441,168.33333333333334
442,167.88888888888889
443,164.77777777777777
444,165.88888888888889
445,167.0
446,168.77777777777777
447,169.33333333333334
448,173.55555555555554
449,170.0
450,170.0
451,170.66666666666666
452,172.88888888888889
453,173.66666666666666
454,171.66666666666666
