Wall time,Step,Value
1650329549.6526616,228,2683.0
1650329562.6146097,229,1541.0
1650329572.0466506,230,1112.0
1650329605.3990965,231,3960.0
1650329626.5153558,232,2483.0
1650329644.387737,233,2118.0
1650329686.2447965,234,4967.0
1650329704.394166,235,2152.0
1650329730.654919,236,3093.0
1650329764.4068966,237,3989.0
1650329795.2119014,238,3639.0
1650329805.6698222,239,1236.0
1650329828.1061337,240,2645.0
1650329864.774264,241,4327.0
1650329907.0685887,242,4995.0
1650329925.7202566,243,2218.0
1650329942.8631656,244,2027.0
1650329973.917769,245,3659.0
1650329998.8244088,246,2938.0
1650330024.150965,247,2993.0
1650330044.1815095,248,2358.0
1650330063.6625648,249,2300.0
1650330102.8163738,250,4628.0
1650330143.139017,251,4761.0
1650330166.141515,252,2699.0
1650330184.0150812,253,2121.0
1650330219.1036777,254,4148.0
1650330235.85906,255,1974.0
1650330247.6103475,256,1378.0
1650330277.5885258,257,3522.0
1650330305.729586,258,3336.0
1650330335.3670902,259,3485.0
1650330355.8171058,260,2417.0
1650330391.086641,261,4142.0
1650330418.7380137,262,3253.0
1650330437.4631279,263,2202.0
1650330475.4665492,264,4465.0
1650330499.5276902,265,2816.0
1650330537.0684528,266,4398.0
1650330556.2453086,267,2272.0
1650330577.7239358,268,2513.0
1650330608.9910593,269,3687.0
1650330639.1866815,270,3540.0
1650330664.3449779,271,2956.0
1650330692.4455726,272,3325.0
1650330728.9489863,273,4296.0
1650330763.1989064,274,4055.0
1650330787.9754617,275,2913.0
1650330808.3905685,276,2316.0
1650330844.3161943,277,4152.0
1650330876.0752044,278,3742.0
1650330914.9582646,279,4559.0
1650330955.2434642,280,4724.0
1650330976.9662905,281,2558.0
1650331007.4957297,282,3589.0
1650331022.150819,283,1729.0
1650331048.6335282,284,3104.0
1650331090.549898,285,4944.0
1650331122.1444957,286,3711.0
1650331138.9332519,287,1982.0
1650331157.1606004,288,2128.0
1650331183.262569,289,3052.0
1650331208.4645464,290,2957.0
1650331227.7332866,291,2255.0
1650331244.5208886,292,1973.0
1650331265.01573,293,2392.0
1650331279.823737,294,1733.0
1650331304.3631032,295,2869.0
1650331334.338565,296,3521.0
1650331351.6953278,297,2047.0
1650331366.9604156,298,1785.0
1650331394.2791104,299,3187.0
1650331419.7578769,300,2991.0
1650331442.2787385,301,2645.0
1650331480.8838894,302,4509.0
1650331511.0781748,303,3517.0
1650331556.9855027,304,5324.0
1650331563.863054,305,832.0
1650331579.8463717,306,1890.0
1650331603.6160266,307,2768.0
1650331639.590786,308,4194.0
1650331669.6292026,309,3509.0
1650331714.0024946,310,5173.0
1650331743.6763525,311,3478.0
1650331762.3596063,312,2188.0
1650331789.3593986,313,3099.0
1650331812.4065254,314,2678.0
1650331835.2757406,315,2617.0
1650331862.5741503,316,3165.0
1650331878.1937206,317,1767.0
1650331918.5389726,318,4604.0
1650331955.7768114,319,4244.0
1650331998.1164124,320,4819.0
1650332031.0425858,321,3799.0
1650332061.2422273,322,3497.0
1650332099.8008718,323,4462.0
1650332147.4234452,324,5467.0
1650332182.7586374,325,4111.0
1650332218.9846232,326,4170.0
1650332247.9722075,327,3350.0
1650332272.7654638,328,2863.0
1650332313.5761695,329,4693.0
1650332341.1307945,330,3229.0
1650332373.8640294,331,3763.0
1650332407.72344,332,3881.0
1650332436.1043544,333,3294.0
1650332455.0831406,334,2153.0
1650332494.0269158,335,4471.0
1650332501.478046,336,873.0
1650332521.8912644,337,2366.0
1650332546.5753925,338,2816.0
1650332572.2359707,339,2924.0
1650332593.688353,340,2461.0
1650332616.5844612,341,2665.0
1650332643.3633292,342,3079.0
1650332670.9697454,343,3160.0
1650332688.6744454,344,2063.0
1650332749.4160454,345,6966.0
1650332773.7009356,346,2792.0
1650332802.4601336,347,3269.0
1650332827.6694481,348,2878.0
1650332854.4837668,349,3097.0
1650332883.9641216,350,3364.0
1650332891.8171384,351,902.0
1650332912.1342874,352,2313.0
1650332937.7916584,353,2882.0
1650332972.6846497,354,3921.0
1650332994.696345,355,2475.0
1650333025.6915994,356,3537.0
1650333043.6795106,357,2073.0
1650333068.6894588,358,2862.0
1650333090.1029654,359,2438.0
1650333111.4031687,360,2421.0
1650333135.0356448,361,2698.0
1650333160.6836298,362,2917.0
1650333179.716804,363,2177.0
1650333224.5981698,364,5125.0
1650333237.7283003,365,1512.0
1650333260.770567,366,2642.0
1650333280.7993402,367,2292.0
1650333313.999233,368,3764.0
1650333327.2111692,369,1530.0
1650333339.4894419,370,1404.0
1650333370.0864968,371,3546.0
1650333393.9855444,372,2754.0
1650333420.030724,373,2956.0
1650333433.934575,374,1586.0
1650333447.5760567,375,1548.0
1650333458.1498516,376,1194.0
1650333486.983974,377,3320.0
1650333504.806217,378,2074.0
1650333523.089228,379,2089.0
1650333564.37727,380,4736.0
1650333577.7183056,381,1497.0
