,Step,Value
258,564,-470.1249247697035
259,565,-408.2124322927332
260,566,-352.29118906345985
261,568,-306.26207015711384
262,570,-266.13586314140247
263,572,-260.6222768272622
264,574,-303.560049144536
265,575,-271.9040442300824
266,578,-274.91363980707416
267,580,-239.52227582636675
268,581,-222.67004824373006
269,582,-188.30304341935707
270,583,-157.47273907742135
271,584,-124.62546516967922
272,585,-95.1629186527113
273,587,-79.64662678744017
274,588,-59.581964108696155
275,593,-37.92376769782655
276,594,-17.531390928043894
277,596,1.2217481647604913
278,597,17.599573348284437
279,598,27.839616013455988
280,601,35.45565441211039
281,603,43.71008897089935
282,605,56.83908007380941
283,607,58.15517206642847
284,609,61.13965485978562
285,611,66.72568937380706
286,612,76.35312043642635
287,613,79.61780839278372
288,616,89.15602755350534
289,620,98.6404247981548
290,621,103.87638231833931
291,623,104.18874408650538
292,624,112.16986967785483
293,626,118.85288271006934
294,630,124.0675944390624
295,635,126.36083499515617
296,642,128.52475149564054
297,643,129.2722763460765
298,645,127.24504871146884
299,646,128.12054384032197
300,647,130.60848945628976
301,648,134.74764051066077
302,649,136.9728764595947
303,650,132.37558881363523
304,652,136.7380299322717
305,653,137.56422693904452
306,657,136.00780424514005
307,658,139.70702382062603
308,660,138.73632143856344
309,662,136.2626892947071
310,665,132.93642036523636
311,667,131.44277832871273
312,668,135.89850049584146
313,669,139.10865044625731
314,672,142.49778540163157
315,673,140.14800686146842
316,674,138.03320617532157
317,675,136.1298855577894
318,676,137.21689700201046
319,678,136.49520730180942
320,679,129.84568657162848
321,680,133.96111791446563
322,682,134.96500612301907
323,683,126.76850551071716
324,684,129.39165495964545
325,685,123.2524894636809
326,686,125.12724051731281
327,687,127.81451646558153
328,689,124.13306481902337
329,690,127.01975833712103
330,693,132.21778250340893
331,697,129.49600425306804
332,700,133.74640382776124
333,701,135.7717634449851
334,702,140.0945871004866
335,704,140.88512839043793
336,705,137.39661555139415
337,706,138.75695399625474
338,707,140.78125859662927
339,709,139.00313273696634
340,710,137.1028194632697
341,711,139.99253751694272
342,715,141.49328376524844
343,719,137.5439553887236
344,720,135.78955984985123
345,722,132.0106038648661
346,723,131.3095434783795
347,724,134.07858913054156
348,725,136.6707302174874
349,726,140.30365719573865
350,727,141.6732914761648
351,730,145.40596232854833
352,731,147.4653660956935
353,737,145.91882948612414
354,739,145.32694653751173
355,740,144.69425188376056
356,741,147.1248266953845
357,742,139.21234402584608
358,744,141.99110962326148
359,747,144.29199866093532
360,748,141.86279879484178
361,751,139.7765189153576
362,752,138.49886702382184
363,753,142.64898032143967
364,755,137.58408228929568
365,757,138.4256740603661
366,760,141.38310665432948
367,761,144.14479598889653
368,763,147.2303163900069
369,766,147.40728475100622
370,767,150.2665562759056
371,768,150.93990064831505
372,770,150.74591058348355
373,771,151.7713195251352
374,772,152.69418757262167
375,774,153.6247688153595
376,775,155.06229193382353
377,776,155.45606274044118
378,781,157.2104564663971
379,785,157.18941081975737
380,786,155.47046973778163
381,788,154.42342276400348
382,790,153.38108048760313
383,792,154.7429724388428
384,793,144.76867519495852
385,794,147.79180767546268
386,795,147.8126269079164
387,796,149.93136421712478
388,797,147.5382277954123
389,799,143.08440501587108
390,801,142.97596451428396
391,803,140.67836806285555
392,806,144.91053125656998
393,808,141.01947813091297
394,809,141.21753031782168
395,810,142.3957772860395
396,814,143.95619955743558
397,816,138.86057960169205
398,817,143.17452164152286
399,819,145.65706947737056
400,822,147.8913625296335
401,824,151.10222627667017
402,825,151.69200364900314
403,826,151.52280328410282
404,829,150.27052295569254
405,832,147.34347066012327
406,833,148.00912359411095
407,835,151.60821123469987
408,837,153.54739011122987
409,839,154.7926511001069
410,844,155.11338599009622
411,846,155.2020473910866
412,847,156.18184265197795
413,848,158.96365838678017
414,849,161.46729254810217
415,852,156.52056329329193
416,858,157.76850696396275
417,860,151.19165626756646
418,861,150.1724906408098
419,862,150.15524157672883
420,863,152.03971741905596
421,864,149.53574567715035
422,868,139.38217110943532
423,870,143.64395399849178
424,871,146.8795585986426
425,874,144.59160273877836
426,875,147.3324424649005
427,876,147.29919821841045
428,877,149.6692783965694
429,878,152.50235055691246
430,880,151.95211550122121
431,881,149.7569039510991
432,882,144.58121355598922
433,883,138.92309220039033
434,885,143.4307829803513
435,888,142.78770468231616
436,890,144.30893421408456
437,891,142.4780407926761
438,893,142.83023671340848
439,894,145.64721304206762
440,897,143.88249173786085
441,898,143.29424256407475
442,900,143.66481830766728
443,901,143.39833647690054
444,908,137.3585028292105
445,909,132.92265254628944
446,910,137.8303872916605
447,911,140.84734856249443
448,912,143.56261370624497
449,913,147.2063523356205
450,914,148.18571710205845
451,916,148.3671453918526
452,917,147.43043085266734
453,918,144.78738776740062
454,921,145.70864899066058
455,922,149.53778409159452
456,923,151.68400568243507
457,924,153.11560511419157
458,926,153.60404460277243
459,932,153.8436401424952
460,933,154.95927612824568
461,934,157.8633485154211
462,936,160.477013663879
463,940,155.6293122974911
464,943,156.96638106774202
465,946,150.4697429609678
466,950,149.52276866487102
467,953,149.57049179838393
468,954,151.51344261854555
469,955,149.062098356691
470,957,138.9558885210219
471,958,143.2602996689197
472,959,146.53426970202773
473,962,144.28084273182498
474,963,147.05275845864247
475,965,147.04748261277823
476,967,149.4427343515004
477,968,152.2984609163504
478,970,151.76861482471534
479,972,149.5917533422438
480,973,144.43257800801945
481,975,138.7893202072175
482,977,143.31038818649574
483,978,142.67934936784616
484,979,144.21141443106154
485,980,142.3902729879554
486,983,142.75124568915984
487,984,145.57612112024387
488,985,143.8185090082195
489,988,143.23665810739755
490,989,143.61299229665778
491,997,143.351693066992
492,1000,137.31652376029282
