Episode,Return,Step,
681,67,102,0.656862745
682,70,101,0.693069307
683,3,156,0.019230769
684,74,89,0.831460674
685,-57,194,-0.293814433
686,-51,198,-0.257575758
687,60,104,0.576923077
688,84,91,0.923076923
689,122,64,1.90625
690,89,101,0.881188119
691,90,90,1
692,36,149,0.241610738
693,106,83,1.277108434
694,52,112,0.464285714
695,45,125,0.36
696,18,137,0.131386861
697,32,124,0.258064516
698,52,124,0.419354839
699,78,88,0.886363636
700,84,96,0.875
701,-38,183,-0.207650273
702,-10,189,-0.052910053
703,-5,130,-0.038461538
704,26,146,0.178082192
705,-15,166,-0.090361446
706,124,54,2.296296296
707,140,45,3.111111111
708,105,85,1.235294118
709,92,82,1.12195122
710,126,50,2.52
711,105,58,1.810344828
712,133,58,2.293103448
713,38,136,0.279411765
714,105,66,1.590909091
715,112,54,2.074074074
716,25,128,0.1953125
717,142,39,3.641025641
718,-36,180,-0.2
719,115,65,1.769230769
720,162,30,5.4
721,101,89,1.134831461
722,25,157,0.159235669
723,149,44,3.386363636
724,110,62,1.774193548
725,141,40,3.525
726,109,76,1.434210526
727,27,114,0.236842105
728,90,83,1.084337349
729,106,68,1.558823529
730,129,54,2.388888889
731,128,59,2.169491525
732,106,67,1.582089552
733,65,92,0.706521739
734,118,53,2.226415094
735,159,30,5.3
736,84,73,1.150684932
737,102,66,1.545454545
738,145,33,4.393939394
739,150,35,4.285714286
740,107,64,1.671875
741,145,47,3.085106383
742,147,37,3.972972973
743,123,50,2.46
744,54,103,0.524271845
745,91,70,1.3
746,83,75,1.106666667
747,166,23,7.217391304
748,134,45,2.977777778
749,85,64,1.328125
750,111,64,1.734375
751,65,114,0.570175439
752,66,100,0.66
753,163,22,7.409090909
754,136,53,2.566037736
755,133,54,2.462962963
756,147,34,4.323529412
757,83,100,0.83
758,42,105,0.4
759,112,52,2.153846154
760,110,61,1.803278689
761,102,92,1.108695652
762,94,93,1.010752688
763,85,91,0.934065934
764,156,33,4.727272727
765,35,107,0.327102804
766,151,37,4.081081081
767,144,43,3.348837209
768,138,48,2.875
769,157,27,5.814814815
770,67,91,0.736263736
771,101,71,1.422535211
772,130,46,2.826086957
773,162,28,5.785714286
774,138,41,3.365853659
775,137,42,3.261904762
776,80,99,0.808080808
777,137,37,3.702702703
778,154,33,4.666666667
779,162,24,6.75
780,141,36,3.916666667
781,68,81,0.839506173
782,131,44,2.977272727
783,117,48,2.4375
784,61,85,0.717647059
785,144,42,3.428571429
786,155,32,4.84375
787,148,32,4.625
