,Episode,Return,Step
64,64,-2112.7507217905472,1697.8954396216795
65,65,-2229.5756496114927,1781.2058956595115
66,66,-2401.6180846503435,1899.5853060935603
67,67,-2289.556276185309,1822.2267754842042
68,68,-2279.300648566778,1805.9040979357837
69,69,-2260.1705837101,1791.8136881422054
70,70,-2288.95352533909,1806.3323193279848
71,71,-2302.258172805181,1822.9990873951863
72,72,-2348.7323555246626,1864.2991786556677
73,73,-2361.7591199721965,1862.569260790101
74,74,-2678.083207974977,2083.412334711091
75,75,-2610.2748871774793,2039.3711012399817
76,76,-2617.2473984597314,2041.1339911159837
77,77,-2554.722658613758,2009.9205920043853
78,78,-2539.250392752382,1995.3285328039467
79,79,-2373.125353477144,1883.795679523552
80,80,-2245.9128181294295,1799.3161115711969
81,81,-2193.9215363164867,1776.184500414077
82,82,-2130.029382684838,1732.2660503726695
83,83,-2126.826444416354,1727.8394453354026
84,84,-2128.0437999747187,1723.2555008018624
85,85,-2024.8394199772467,1650.629950721676
86,86,-2085.8554779795218,1704.3669556495086
87,87,-1969.6699301815697,1623.8302600845577
88,88,-2124.7029371634126,1735.3472340761018
89,89,-2086.732643447071,1706.9125106684917
90,90,-1985.8593791023638,1637.3212596016424
91,91,-1923.8734411921273,1589.889133641478
92,92,-1909.8860970729145,1581.7002202773303
93,93,-1768.597487365623,1473.4301982495974
94,94,-1714.8377386290606,1439.9871784246375
95,95,-1882.6539647661546,1562.8884605821736
96,96,-1811.0885682895391,1515.8996145239562
97,97,-1878.8797114605852,1582.4096530715606
98,98,-1833.2917403145266,1546.6686877644045
99,99,-2227.162566283074,1828.401818987964
100,100,-2200.5463096547664,1818.1616370891675
101,101,-2170.9916786892895,1807.8454733802507
102,102,-2254.5925108203605,1859.9609260422255
103,103,-2235.0332597383244,1850.6648334380031
104,104,-2236.129933764492,1847.098350094203
105,105,-2229.2169403880425,1835.0885150847828
106,106,-2114.8952463492383,1759.6796635763044
107,107,-1954.6057217143145,1636.6116972186742
108,108,-1832.845149542883,1544.150527496807
109,109,-1794.060634588595,1513.5354747471263
110,110,-2116.6545711297354,1732.8819272724136
111,111,-2149.789114016762,1787.5937345451723
112,112,-2035.810202615086,1708.734361090655
113,113,-1903.9291823535775,1612.8609249815895
114,114,-1817.0362641182198,1554.1748324834305
115,115,-1840.832637706398,1570.0573492350875
116,116,-1801.249373935758,1550.7516143115788
117,117,-1738.4244365421823,1499.976452880421
118,118,-1695.681992887964,1477.4788075923789
119,119,-1683.2137935991675,1457.030926833141
120,120,-1714.7924142392505,1480.7278341498268
121,121,-1736.4131728153254,1490.155050734844
122,122,-1921.8718555337928,1617.9395456613597
123,123,-1864.5846699804133,1581.1455910952238
124,124,-1955.926202982372,1648.9310319857013
125,125,-1877.533582684135,1599.5379287871312
126,126,-1817.5802244157214,1556.7841359084182
127,127,-1829.7222019741491,1557.3057223175765
128,128,-1743.2499817767343,1493.775150085819
129,129,-1711.4249835990609,1469.497635077237
130,130,-1655.7824852391548,1425.7478715695133
131,131,-1691.5042367152394,1453.173084412562
132,132,-1699.4538130437154,1456.5557759713058
133,133,-1819.1084317393438,1547.8001983741751
134,134,-1824.7975885654093,1554.5201785367576
135,135,-1810.1178297088684,1552.4681606830818
136,136,-1762.9060467379816,1506.9213446147737
137,137,-1670.1154420641835,1440.7292101532964
138,138,-1784.003897857765,1509.8562891379668
139,139,-1685.3035080719885,1447.17066022417
140,140,-1640.7731572647897,1423.553594201753
141,141,-1580.3958415383108,1376.2982347815775
142,142,-1540.2562573844798,1345.3684113034199
143,143,-1598.8306316460319,1383.5315701730779
144,144,-1571.9475684814288,1371.47841315577
145,145,-1578.052811633286,1366.4305718401931
146,146,-1622.4475304699574,1391.987514656174
147,147,-1673.0027774229616,1419.6887631905565
148,148,-1593.3024996806653,1366.619886871501
149,149,-1548.4722497125988,1333.6578981843509
150,150,-1504.0250247413387,1300.3921083659156
151,151,-1440.7225222672048,1261.652897529324
152,152,-1468.4502700404844,1280.2876077763917
153,153,-1567.605243036436,1345.0588469987526
154,154,-1624.5447187327925,1393.5529622988774
155,155,-1691.990246859513,1434.8976660689898
156,156,-1739.9912221735617,1463.0078994620908
157,157,-1792.0920999562054,1504.2071095158817
158,158,-1791.7828899605847,1506.3863985642936
159,159,-1683.8046009645263,1429.9477587078643
160,160,-1651.2241408680736,1401.9529828370778
161,161,-1563.2017267812662,1342.7576845533702
162,162,-1532.8815541031397,1313.8819160980333
163,163,-1559.8933986928257,1342.29372448823
164,164,-1564.0040588235431,1342.464352039407
165,165,-1467.3036529411888,1274.6179168354665
166,166,-1410.1732876470699,1238.85612515192
167,167,-1306.655958882363,1161.270512636728
168,168,-1295.9903629941266,1158.9434613730552
