Wall time,Step,Value
1650542343,704,38
1650542497,705,55
1650542742,706,31
1650542822,707,26
1650543051,709,49
1650543128,710,53
1650543297,711,25
1650543518,715,27
1650543819,719,64
1650543904,720,51
1650544376,722,59
1650544528,723,48
1650544610,724,26
1650544927,725,28
1650545024,726,18
1650545049,727,27
1650545238,730,13
1650545300,731,23
1650545853,737,41
1650546010,739,37
1650546183,740,36
1650546211,741,19
1650546273,742,77
1650546368,744,21
1650546469,747,23
1650546544,748,53
1650547152,751,46
1650547218,752,43
1650547432,753,14
1650547745,755,67
1650547907,757,36
1650548201,760,20
1650548300,761,21
1650548405,763,16
1650548560,766,29
1650548573,767,16
1650548701,768,26
1650548863,770,34
1650548914,771,24
1650548937,772,26
1650549048,774,25
1650549232,775,21
1650549522,776,21
1650550014,781,17
1650550430,785,27
1650550579,786,37
1650550836,788,32
1650550976,790,33
1650551269,792,19
1650551318,793,78
1650551333,794,15
1650551432,795,31
1650551572,796,20
1650551880,797,46
1650552301,799,53
1650552667,801,34
1650552924,803,48
1650553237,806,12
1650553532,808,58
1650553570,809,35
1650553625,810,28
1650553855,814,25
1650553926,816,61
1650554007,817,12
1650554252,819,19
1650554491,822,20
1650554744,824,13
1650554796,825,24
1650554891,826,32
1650555135,829,35
1650555383,832,52
1650555533,833,26
1650555828,835,11
1650555929,837,21
1650556502,839,22
1650557107,844,25
1650557586,846,30
1650557784,847,22
1650557866,848,11
1650558174,849,11
1650558514,852,50
1650559657,858,19
1650559898,860,62
1650559971,861,37
1650560412,862,33
1650560512,863,21
1650560611,864,46
1650561089,868,93
1650561596,870,13
1650561623,871,15
1650561955,874,49
1650562193,875,17
1650562296,876,32
1650562706,877,17
1650562736,878,17
1650563518,880,34
1650563536,881,40
1650563547,882,64
1650563884,883,68
1650564053,885,11
1650564500,888,38
1650564619,890,27
1650564815,891,46
1650565053,893,34
1650565155,894,20
1650565329,897,53
1650565352,898,39
1650565712,900,34
1650565768,901,36
1650567754,908,77
1650567885,909,61
1650567956,910,12
1650568037,911,19
1650568162,912,20
1650568404,913,13
1650568569,914,24
1650569007,916,32
1650569239,917,35
1650569371,918,52
1650569708,921,26
1650569823,922,11
1650569887,923,21
1650570029,924,22
1650571170,926,25
1650572023,932,30
1650572308,933,22
1650572393,934,11
1650572700,936,11
