Wall time,Step,Value
1650326948.3014078,126,-2796.0
1650326970.732307,127,-3648.0
1650326987.7667449,128,-2738.0
1650327000.8197203,129,-2029.0
1650327035.3463497,130,-5569.0
1650327089.3595674,131,-9023.0
1650327117.3750708,132,-4649.0
1650327125.9821553,133,-1324.0
1650327141.3398757,134,-2495.0
1650327156.0364287,135,-2322.0
1650327178.6615908,136,-3621.0
1650327203.1799133,137,-3978.0
1650327216.8045344,138,-2177.0
1650327237.429962,139,-3424.0
1650327263.4532177,140,-4200.0
1650327276.0095527,141,-1896.0
1650327295.3277242,142,-3113.0
1650327345.4286048,143,-8076.0
1650327378.651256,144,-5247.0
1650327402.6146286,145,-3766.0
1650327431.6886995,146,-4538.0
1650327454.5314095,147,-3610.0
1650327483.658727,148,-4731.0
1650327512.062049,149,-4566.0
1650327542.867922,150,-4915.0
1650327561.3312793,151,-2878.0
1650327589.4526732,152,-4460.0
1650327614.2561429,153,-3931.0
1650327654.3351223,154,-6460.0
1650327680.1197271,155,-4231.0
1650327697.147559,156,-2693.0
1650327709.5356348,157,-1939.0
1650327727.86578,158,-2881.0
1650327749.120247,159,-3338.0
1650327761.5297267,160,-1877.0
1650327772.354472,161,-1588.0
1650327788.700893,162,-2494.0
1650327803.1906295,163,-2265.0
1650327825.4866138,164,-3761.0
1650327854.9083633,165,-4764.0
1650327870.6560755,166,-2477.0
1650327895.7531028,167,-4063.0
1650327919.6279998,168,-3781.0
1650327972.7847238,169,-8722.0
1650328008.1308484,170,-5623.0
1650328038.7278938,171,-4904.0
1650328064.9727368,172,-4182.0
1650328088.7628665,173,-3758.0
1650328114.1589365,174,-4086.0
1650328132.1011264,175,-2814.0
1650328145.956735,176,-2137.0
1650328169.6156197,177,-3783.0
1650328199.938436,178,-4792.0
1650328215.8795087,179,-2471.0
1650328245.0402317,180,-4690.0
1650328257.4918194,181,-1865.0
1650328280.258536,182,-3581.0
1650328296.9425735,183,-2528.0
1650328322.0459282,184,-3905.0
1650328345.8321338,185,-3762.0
1650328369.9537773,186,-3748.0
1650328400.7612114,187,-4840.0
1650328425.8043666,188,-3865.0
1650328460.4098449,189,-5552.0
1650328477.9151785,190,-2618.0
1650328502.593728,191,-3930.0
1650328520.4614058,192,-2839.0
1650328544.9704955,193,-3916.0
1650328582.2407446,194,-5734.0
1650328606.883523,195,-3913.0
1650328634.629183,196,-4330.0
1650328665.0346832,197,-4780.0
1650328690.578901,198,-3897.0
1650328711.3821495,199,-3243.0
1650328738.620123,200,-4342.0
1650328778.6782262,201,-6379.0
1650328810.7691078,202,-5093.0
1650328841.4234872,203,-4808.0
1650328867.838261,204,-4118.0
1650328897.7109942,205,-4694.0
1650328924.9584136,206,-4380.0
1650328951.1376956,207,-4116.0
1650328968.1533535,208,-2619.0
1650328994.5409276,209,-4064.0
1650329021.6259553,210,-4314.0
1650329052.6591105,211,-4960.0
1650329083.4243588,212,-4883.0
1650329118.4150155,213,-5510.0
1650329156.0109503,214,-5944.0
1650329193.1632228,215,-6001.0
1650329226.4152133,216,-5201.0
1650329246.8735259,217,-3151.0
1650329274.768424,218,-4444.0
1650329302.0134108,219,-4247.0
1650329354.1733649,220,-8250.0
1650329368.6731474,221,-2149.0
1650329387.8752375,222,-2921.0
1650329453.9158773,223,-10590.0
1650329470.4818237,224,-2514.0
1650329492.1182008,225,-3371.0
1650329504.2879536,226,-1798.0
1650329527.0036633,227,-3511.0
1650329549.6526616,228,-3530.0
1650329562.6146097,229,-1876.0
1650329572.0466506,230,-1342.0
1650329605.3990965,231,-5175.0
1650329626.5153558,232,-3185.0
1650329644.387737,233,-2737.0
1650329686.2447965,234,-6590.0
1650329704.394166,235,-2750.0
1650329730.654919,236,-4126.0
1650329764.4068966,237,-5241.0
1650329795.2119014,238,-4798.0
1650329805.6698222,239,-1492.0
1650329828.1061337,240,-3452.0
1650329864.774264,241,-5716.0
1650329907.0685887,242,-6656.0
1650329925.7202566,243,-2894.0
1650329942.8631656,244,-2572.0
1650329973.917769,245,-4748.0
1650329998.8244088,246,-3797.0
1650330024.150965,247,-3834.0
1650330044.1815095,248,-3014.0
1650330063.6625648,249,-2982.0
1650330102.8163738,250,-6138.0
1650330143.139017,251,-6309.0
1650330166.141515,252,-3451.0
1650330184.0150812,253,-2713.0
1650330219.1036777,254,-5532.0
1650330235.85906,255,-2551.0
1650330247.6103475,256,-1694.0
1650330277.5885258,257,-4711.0
1650330305.729586,258,-4242.0
1650330335.3670902,259,-4595.0
1650330355.8171058,260,-3384.0
1650330391.086641,261,-5467.0
1650330418.7380137,262,-4701.0
1650330437.4631279,263,-2776.0
1650330475.4665492,264,-6243.0
1650330499.5276902,265,-3726.0
1650330537.0684528,266,-5826.0
1650330556.2453086,267,-2942.0
1650330577.7239358,268,-3184.0
1650330608.9910593,269,-4732.0
1650330639.1866815,270,-4572.0
1650330664.3449779,271,-3791.0
1650330692.4455726,272,-4275.0
1650330728.9489863,273,-5587.0
1650330763.1989064,274,-5211.0
1650330787.9754617,275,-3690.0
1650330808.3905685,276,-2977.0
1650330844.3161943,277,-5366.0
1650330876.0752044,278,-4874.0
1650330914.9582646,279,-5895.0
1650330955.2434642,280,-6087.0
1650330976.9662905,281,-3244.0
1650331007.4957297,282,-4581.0
1650331022.150819,283,-2095.0
1650331048.6335282,284,-3941.0
1650331090.549898,285,-6384.0
1650331122.1444957,286,-4811.0
1650331138.9332519,287,-2482.0
1650331157.1606004,288,-2673.0
1650331183.262569,289,-4086.0
