,Episode,Return,Step
203,203,-109.31661879894288,336.79157444778707
204,204,-94.98495691904859,322.4124170030084
205,205,-72.98646122714374,300.37117530270757
206,206,-64.88781510442936,292.2340577724368
207,207,-129.19903359398643,356.51065199519314
208,208,-114.07913023458778,341.4595867956739
209,209,-104.57121721112901,331.91362811610645
210,210,-91.61409549001611,318.9222653044958
211,211,-88.15268594101451,315.5300387740462
212,212,-64.63741734691305,291.9770348966416
213,213,-162.67367561222173,389.97933140697745
214,214,-176.80630805099958,404.0813982662797
215,215,-143.42567724589964,370.6732584396517
216,216,-134.08310952130967,361.30593259568656
217,217,-109.57479856917871,336.77533933611795
218,218,-128.01731871226085,355.1978054025061
219,219,-102.81558684103477,329.9780248622555
220,220,-107.3340281569313,334.48022237602993
221,221,-96.40062534123817,323.53220013842696
222,222,-83.96056280711436,311.07898012458423
223,223,-74.56450652640292,301.6710821121258
224,224,-50.30805587376264,277.40397390091323
225,225,-41.677250286386375,268.7635765108219
226,226,-79.20952525774773,306.38721885973973
227,227,-80.28857273197296,307.44849697376577
228,228,-56.75971545877567,283.90364727638917
229,229,-41.983743912898106,269.21328254875027
230,230,-18.6853695216083,245.89195429387524
231,231,-0.016832569447473134,227.20275886448772
232,232,10.584850687497273,216.58248297803894
233,233,20.826365618747545,206.32423468023507
234,234,13.343729056872792,213.89181121221156
235,235,-23.890643848814477,251.1026300909904
236,236,-23.50157946393303,250.79236708189134
237,237,-8.55142151753973,235.8131303737022
238,238,-19.496279365785753,246.83181733633197
239,239,-1.5466514292071807,228.84863560269875
240,240,-29.891986286286457,257.16377204242883
241,241,-16.202787657657815,243.44739483818594
242,242,-10.382508891892035,237.60265535436736
243,243,-8.144258002702832,235.44238981893062
244,244,-67.52983220243254,294.99815083703754
245,245,-53.67684898218929,281.0983357533338
246,246,-129.20916408397034,356.5885021780004
247,247,-121.2882476755733,348.62965196020036
248,248,-166.05942290801596,393.3666867641803
249,249,-224.65348061721437,451.9300180877623
250,250,-188.78813255549292,416.0370162789861
251,251,-158.20931929994364,385.43331465108747
252,252,-241.28838736994925,468.5899831859787
253,253,-243.55954863295435,470.83098486738083
254,254,-205.50359376965892,432.84788638064276
255,255,-268.453234392693,495.7630977425785
