,Step,Value
247,248,-716.8464149164652
248,249,-782.2771319331721
249,250,-1622.2217055465376
250,251,-1267.1773644372302
251,252,-985.5418915497842
252,253,-910.2335132398273
253,254,-691.7868105918619
254,255,-684.2294484734895
255,256,-507.18355877879156
256,257,-441.3468470230333
257,258,-637.4774776184265
258,259,-547.5819820947412
259,260,-967.0655856757928
260,261,-918.2524685406343
261,262,-2215.601974832507
262,263,-2132.0815798660055
263,264,-2187.6652638928044
264,265,-1957.5322111142434
265,266,-1852.4257688913947
266,267,-1600.9406151131159
267,268,-1399.9524920904928
268,269,-1085.7619936723943
269,270,-828.8095949379156
270,271,-2145.047675950332
271,272,-1996.4381407602657
272,273,-1557.3505126082127
273,274,-1284.6804100865702
274,275,-1398.7443280692562
275,276,-1076.795462455405
276,277,-900.836369964324
277,278,-857.2690959714591
278,279,-809.0152767771673
279,280,-1098.0122214217338
280,281,-935.209777137387
281,282,-710.7678217099098
282,283,-694.2142573679278
283,284,-512.9714058943423
284,285,-372.9771247154739
285,286,-497.5816997723791
286,287,-355.8653598179033
287,288,-567.0922878543226
288,289,-651.6738302834581
289,290,-562.1390642267664
290,291,-730.9112513814131
291,292,-1661.7290011051302
292,293,-1530.1832008841043
293,294,-1911.7465607072832
294,295,-1566.7972485658267
295,296,-1694.8377988526613
296,297,-1716.870239082129
297,298,-1503.2961912657033
298,299,-1165.2369530125627
299,300,-1772.5895624100501
300,301,-1384.8716499280401
301,302,-1146.8973199424322
302,303,-957.7178559539459
303,304,-814.9742847631567
304,305,-770.7794278105254
305,306,-580.4235422484203
306,307,-424.93883379873625
307,308,-301.3510670389891
308,309,-286.28085363119123
309,310,-352.82468290495297
310,311,-1761.659746323962
311,312,-1526.72779705917
312,313,-1237.982237647336
313,314,-1028.5857901178688
314,315,-959.2686320942951
315,316,-851.8149056754361
316,317,-881.2519245403489
317,318,-745.4015396322792
318,319,-1698.121231705823
319,320,-1327.0969853646584
320,321,-1185.2775882917267
321,322,-1187.0220706333814
322,323,-1231.8176565067051
323,324,-956.0541252053641
324,325,-1044.8433001642913
325,326,-802.0746401314332
326,327,-600.2597121051466
327,328,-599.4077696841173
328,329,-595.3262157472939
329,330,-434.86097259783514
330,331,-308.28877807826814
331,332,-204.23102246261453
332,333,-207.98481797009163
333,334,-1809.387854376073
334,335,-1420.3102835008583
335,336,-1104.2482268006868
336,337,-856.5985814405495
337,338,-724.6788651524397
338,339,-543.1430921219518
339,340,-474.3144736975615
340,341,-499.6515789580492
341,342,-357.92126316643936
342,343,-4784.137010533151
343,344,-4068.3096084265208
344,345,-3304.447686741217
345,346,-2602.5581493929735
346,347,-2038.0465195143788
347,348,-1881.837215611503
348,349,-1874.2697724892025
349,350,-1455.815817991362
350,351,-1120.6526543930897
351,352,-853.5221235144718
352,353,-640.4176988115775
353,354,-548.934159049262
354,355,-4537.147327239409
355,356,-3638.917861791527
356,357,-2947.3342894332213
357,358,-2313.067431546577
358,359,-1886.2539452372619
359,360,-1657.0031561898095
360,361,-2729.402524951847
361,362,-2757.3220199614775
362,363,-2343.057615969182
363,364,-2314.0460927753456
364,365,-1895.0368742202766
365,366,-1477.0294993762213
366,367,-1461.4235995009772
367,368,-2593.1388796007814
368,369,-2116.511103680625
369,370,-1653.6088829445002
370,371,-1280.6871063556002
371,372,-982.9496850844802
372,373,-2991.1597480675837
373,374,-3667.327798454067
374,375,-2935.6622387632538
375,376,-2471.729791010603
376,377,-1995.5838328084826
377,378,-1561.6670662467861
378,379,-1217.133652997429
379,380,-932.9069223979433
380,381,-703.5255379183548
381,382,-520.8204303346838
382,383,-380.25634426774707
