Episode,Return,Step
340,125.0,102
341,195.0,32
342,117.0,110
343,171.0,56
344,-53.0,280
345,129.0,98
346,180.0,48
347,199.0,28
348,80.0,147
349,-35.0,262
350,216.0,11
351,126.0,101
352,200.0,27
353,193.0,34
354,192.0,35
355,167.0,60
356,142.0,85
357,172.0,55
358,177.0,50
359,157.0,70
360,215.0,12
361,188.0,39
362,207.0,20
363,162.0,65
364,211.0,16
365,207.0,20
366,206.0,21
367,142.0,85
368,147.0,80
369,187.0,40
370,157.0,70
371,175.0,52
372,161.0,66
373,205.0,22
374,85.0,142
375,199.0,28
376,209.0,18
377,205.0,22
378,161.0,66
379,181.0,46
380,157.0,70
381,185.0,42
382,51.0,176
383,172.0,55
384,213.0,14
385,209.0,18
386,206.0,21
387,201.0,26
388,136.0,91
389,168.0,59
390,137.0,90
391,185.0,42
392,204.0,23
393,160.0,67
394,209.0,18
395,190.0,37
396,199.0,28
397,157.0,70
398,203.0,24
399,180.0,47
400,212.0,15
401,207.0,20
402,204.0,23
403,162.0,65
404,152.0,75
405,169.0,58
406,133.0,94
407,182.0,45
408,193.0,34
409,201.0,26
410,196.0,31
411,141.0,86
412,196.0,31
413,202.0,25
414,195.0,32
415,212.0,15
416,189.0,38
417,198.0,29
418,199.0,28
419,211.0,16
420,211.0,16
421,204.0,23
422,205.0,22
423,187.0,40
424,209.0,18
425,202.0,25
426,211.0,16
427,195.0,32
428,150.0,77
429,146.0,81
430,170.0,57
431,191.0,36
432,206.0,21
433,192.0,35
434,200.0,27
435,199.0,28
436,169.0,58
437,212.0,15
438,190.0,37
439,203.0,24
440,169.0,58
441,196.0,31
442,199.0,28
443,184.0,43
444,203.0,24
445,199.0,28
446,196.0,31
447,198.0,29
448,201.0,26
449,197.0,30
450,214.0,13
451,192.0,35
452,203.0,24
453,201.0,26
454,206.0,21
455,182.0,45
456,170.0,57
457,197.0,30
458,206.0,21
459,175.0,52
460,198.0,29
461,214.0,13
462,210.0,17
463,191.0,36
464,204.0,23
465,214.0,13
466,201.0,26
467,205.0,22
468,204.0,23
469,214.0,13
470,197.0,30
471,201.0,26
472,207.0,20
473,191.0,36
474,206.0,21
475,203.0,24
476,212.0,15
477,188.0,39
478,205.0,22
479,209.0,18
480,200.0,27
481,201.0,26
482,190.0,37
483,192.0,35
484,206.0,21
485,199.0,28
486,197.0,30
487,205.0,22
488,194.0,33
489,206.0,21
490,211.0,16
491,194.0,33
492,187.0,40
493,209.0,18
494,205.0,22
495,209.0,18
496,212.0,15
497,212.0,15
498,204.0,23
499,195.0,32
500,194.0,33
501,206.0,21
502,200.0,27
503,205.0,22
504,214.0,13
505,216.0,11
506,210.0,17
507,214.0,13
508,208.0,19
509,189.0,38
510,165.0,62
511,204.0,23
512,174.0,53
513,189.0,38
514,198.0,29
515,202.0,25
516,151.0,76
517,201.0,26
518,142.0,85
519,204.0,23
520,200.0,27
521,191.0,36
522,206.0,21
523,192.0,35
524,164.0,63
525,191.0,36
526,214.0,13
527,208.0,19
528,203.0,24
529,197.0,30
530,193.0,34
531,202.0,25
532,179.0,48
533,214.0,13
534,206.0,21
535,209.0,18
536,211.0,16
537,198.0,29
538,214.0,13
539,209.0,18
540,205.0,22
541,213.0,14
542,204.0,23
543,208.0,19
544,206.0,21
545,203.0,24
546,207.0,20
547,207.0,20
548,212.0,15
549,203.0,24
550,203.0,24
551,183.0,44
552,141.0,86
553,203.0,24
554,216.0,11
555,211.0,16
556,201.0,26
557,192.0,35
558,213.0,14
559,216.0,11
560,189.0,38
561,217.0,10
562,207.0,20
563,205.0,22
564,149.0,78
565,207.0,20
566,191.0,36
567,202.0,25
568,188.0,39
569,212.0,15
570,199.0,28
571,201.0,26
572,205.0,22
573,183.0,44
574,186.0,41
575,193.0,34
576,201.0,26
577,209.0,18
578,203.0,24
579,201.0,26
580,202.0,25
581,213.0,14
582,183.0,44
583,207.0,20
584,184.0,43
585,202.0,25
586,204.0,23
587,178.0,49
588,212.0,15
589,190.0,37
590,215.0,12
591,197.0,30
592,204.0,23
593,213.0,14
594,198.0,29
595,199.0,28
596,207.0,20
597,206.0,21
598,202.0,25
599,212.0,15
600,211.0,16
601,216.0,11
602,175.0,52
603,212.0,15
604,208.0,19
605,214.0,13
606,196.0,31
607,210.0,17
608,181.0,46
609,211.0,16
610,198.0,29
611,215.0,12
612,210.0,17
613,201.0,26
614,205.0,22
615,184.0,43
616,189.0,38
617,204.0,23
618,197.0,30
619,207.0,20
620,214.0,13
621,188.0,39
622,216.0,11
623,211.0,16
624,200.0,27
625,214.0,13
626,207.0,20
627,203.0,24
628,208.0,19
629,212.0,15
630,208.0,19
631,188.0,39
632,203.0,24
633,195.0,32
634,203.0,25
635,205.0,23
636,193.0,34
637,205.0,22
638,189.0,38
639,203.0,24
640,193.0,34
641,205.0,22
642,184.0,43
643,206.0,22
644,208.0,19
645,196.0,31
646,205.0,22
647,196.0,31
648,194.0,33
649,206.0,21
650,201.0,26
651,214.0,13
652,210.0,17
653,192.0,35
654,188.0,39
655,193.0,34
656,197.0,30
657,203.0,24
658,204.0,23
659,210.0,17
660,216.0,11
661,199.0,28
662,212.0,15
663,200.0,27
664,206.0,21
665,210.0,17
666,214.0,13
667,195.0,32
668,192.0,35
669,202.0,25
670,191.0,36
671,200.0,27
672,204.0,23
673,206.0,21
674,194.0,33
675,180.0,47
676,180.0,47
677,210.0,17
678,176.0,51
679,208.0,19
680,202.0,25
681,184.0,43
682,216.0,11
683,193.0,34
684,202.0,25
685,211.0,16
686,205.0,22
687,194.0,33
688,202.0,25
689,216.0,11
690,210.0,17
691,205.0,22
692,214.0,13
693,211.0,16
694,186.0,41
695,215.0,12
696,201.0,26
697,199.0,28
698,208.0,19
699,216.0,11
700,204.0,23
701,209.0,18
702,215.0,12
703,200.0,27
704,200.0,27
705,214.0,13
706,209.0,18
707,216.0,11
708,216.0,11
709,199.0,28
710,218.0,9
711,212.0,15
712,207.0,20
713,203.0,24
714,214.0,13
715,196.0,31
716,218.0,9
717,215.0,12
718,188.0,39
719,188.0,39
720,212.0,15
721,205.0,23
722,213.0,14
723,215.0,12
724,215.0,12
725,215.0,12
726,215.0,12
727,215.0,12
728,211.0,16
729,215.0,12
730,215.0,12
731,201.0,26
732,208.0,19
733,176.0,51
734,168.0,59
735,213.0,14
736,214.0,13
737,213.0,14
738,212.0,15
739,217.0,10
740,176.0,51
741,218.0,9
742,216.0,11
743,213.0,14
744,213.0,14
745,60.0,167
746,210.0,17
747,218.0,9
748,198.0,29
749,209.0,18
750,209.0,18
751,212.0,15
752,208.0,19
753,206.0,21
754,214.0,13
755,217.0,10
756,200.0,27
757,148.0,79
758,203.0,24
759,210.0,17
760,211.0,16
761,206.0,21
762,213.0,14
763,201.0,26
764,211.0,16
765,204.0,23
766,211.0,16
767,213.0,14
768,204.0,23
769,209.0,18
770,217.0,10
771,214.0,13
772,210.0,17
773,214.0,13
774,200.0,27
775,208.0,19
776,212.0,15
777,210.0,17
778,213.0,14
779,210.0,17
780,211.0,16
781,204.0,23
782,211.0,16
783,205.0,22
784,208.0,19
785,213.0,14
786,205.0,22
787,204.0,23
788,206.0,21
789,213.0,14
790,198.0,29
791,202.0,25
792,203.0,24
793,195.0,32
794,207.0,20
795,217.0,10
796,182.0,45
797,218.0,9
798,204.0,23
799,212.0,15
800,212.0,15
801,213.0,14
802,211.0,16
803,216.0,11
804,210.0,17
805,213.0,14
806,207.0,20
807,218.0,9
808,181.0,46
809,212.0,15
810,211.0,16
811,202.0,25
812,218.0,9
813,215.0,12
814,205.0,22
